Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_8,0.322,0.42728
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_9,0.0775,0.14406
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_9,0.0775,0.14406
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_9,0.0775,0.14406
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_9,0.0775,0.14406
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_9,0.0775,0.14406
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_9,0.0775,0.14406
